id,row_no,avg_period,date_from,time_from,full_csv_parsed,station,date_to,time_to,parameter,file_path
180,19,4 Hours,01/05/2016,12:00 AM,1,Peenya,31/08/2016,11:45 PM,Temperature(Temp),/home/thej/code/cpcb/data/raw/2016_PEENYA_2/temp.csv
181,19,4 Hours,01/05/2016,12:00 AM,1,Peenya,31/08/2016,11:45 PM,Nitric Oxide(NO),/home/thej/code/cpcb/data/raw/2016_PEENYA_2/no.csv
182,19,4 Hours,01/05/2016,12:00 AM,1,Peenya,31/08/2016,11:45 PM,Relative Humidity(RH),/home/thej/code/cpcb/data/raw/2016_PEENYA_2/rh.csv
183,19,4 Hours,01/05/2016,12:00 AM,1,Peenya,31/08/2016,11:45 PM,Sulfur Dioxide(SO2),/home/thej/code/cpcb/data/raw/2016_PEENYA_2/so2.csv
184,19,4 Hours,01/05/2016,12:00 AM,1,Peenya,31/08/2016,11:45 PM,Total Hydrocarbon(THC),/home/thej/code/cpcb/data/raw/2016_PEENYA_2/thc.csv
185,19,4 Hours,01/05/2016,12:00 AM,1,Peenya,31/08/2016,11:45 PM,Carbon Monoxide(CO),/home/thej/code/cpcb/data/raw/2016_PEENYA_2/co.csv
186,19,4 Hours,01/05/2016,12:00 AM,1,Peenya,31/08/2016,11:45 PM,Oxides of Nitrogen(NOx),/home/thej/code/cpcb/data/raw/2016_PEENYA_2/nox.csv
187,19,4 Hours,01/05/2016,12:00 AM,1,Peenya,31/08/2016,11:45 PM,Wind Speed (WIND SPEED S),/home/thej/code/cpcb/data/raw/2016_PEENYA_2/ws.csv
188,19,4 Hours,01/05/2016,12:00 AM,1,Peenya,31/08/2016,11:45 PM,Ammonia(NH3),/home/thej/code/cpcb/data/raw/2016_PEENYA_2/nh3.csv
189,19,4 Hours,01/05/2016,12:00 AM,1,Peenya,31/08/2016,11:45 PM,Methane(CH4),/home/thej/code/cpcb/data/raw/2016_PEENYA_2/ch3.csv
190,19,4 Hours,01/05/2016,12:00 AM,1,Peenya,31/08/2016,11:45 PM,Nitrogen Dioxide(NO2),/home/thej/code/cpcb/data/raw/2016_PEENYA_2/no2.csv
191,19,4 Hours,01/01/2017,12:00 AM,1,CRS,30/04/2017,11:45 PM,Nitric Oxide(NO),/home/thej/code/cpcb/data/raw/2017_CRS_1/no.csv
192,19,4 Hours,01/01/2017,12:00 AM,1,CRS,30/04/2017,11:45 PM,Sulfur Dioxide(SO2),/home/thej/code/cpcb/data/raw/2017_CRS_1/so2.csv
193,19,4 Hours,01/01/2017,12:00 AM,1,CRS,30/04/2017,11:45 PM,Carbon Monoxide(CO),/home/thej/code/cpcb/data/raw/2017_CRS_1/co.csv
194,19,4 Hours,01/01/2017,12:00 AM,1,CRS,30/04/2017,11:45 PM,Oxides of Nitrogen(NOx),/home/thej/code/cpcb/data/raw/2017_CRS_1/nox.csv
195,19,4 Hours,01/01/2017,12:00 AM,1,CRS,30/04/2017,11:45 PM,PM10(PM10),/home/thej/code/cpcb/data/raw/2017_CRS_1/pm10.csv
196,19,4 Hours,01/01/2017,12:00 AM,1,CRS,30/04/2017,11:45 PM,Nitrogen Dioxide(NO2),/home/thej/code/cpcb/data/raw/2017_CRS_1/no2.csv
197,19,4 Hours,01/09/2016,12:00 AM,1,BTM,31/12/2016,11:45 PM,Nitric Oxide(NO),/home/thej/code/cpcb/data/raw/2016_BTM_3/no.csv
198,19,4 Hours,01/09/2016,12:00 AM,1,BTM,31/12/2016,11:45 PM,Relative Humidity(RH),/home/thej/code/cpcb/data/raw/2016_BTM_3/rh.csv
199,19,4 Hours,01/09/2016,12:00 AM,1,BTM,31/12/2016,11:45 PM,Sulfur Dioxide(SO2),/home/thej/code/cpcb/data/raw/2016_BTM_3/so2.csv
200,19,4 Hours,01/09/2016,12:00 AM,1,BTM,31/12/2016,11:45 PM,Carbon Monoxide(CO),/home/thej/code/cpcb/data/raw/2016_BTM_3/co.csv
201,19,4 Hours,01/09/2016,12:00 AM,1,BTM,31/12/2016,11:45 PM,Ozone(O3),/home/thej/code/cpcb/data/raw/2016_BTM_3/o3.csv
202,19,4 Hours,01/09/2016,12:00 AM,1,BTM,31/12/2016,11:45 PM,PM 2.5(PM2.5),/home/thej/code/cpcb/data/raw/2016_BTM_3/pm25.csv
203,19,4 Hours,01/09/2016,12:00 AM,1,BTM,31/12/2016,11:45 PM,Oxides of Nitrogen(NOx),/home/thej/code/cpcb/data/raw/2016_BTM_3/nox.csv
204,19,4 Hours,01/09/2016,12:00 AM,1,BTM,31/12/2016,11:45 PM,Wind Speed (WS),/home/thej/code/cpcb/data/raw/2016_BTM_3/ws.csv
205,19,4 Hours,01/09/2016,12:00 AM,1,BTM,31/12/2016,11:45 PM,Wind Direction(WD),/home/thej/code/cpcb/data/raw/2016_BTM_3/wd.csv
206,19,4 Hours,01/09/2016,12:00 AM,1,BTM,31/12/2016,11:45 PM,Nitrogen Dioxide(NO2),/home/thej/code/cpcb/data/raw/2016_BTM_3/no2.csv
207,19,4 Hours,01/09/2015,12:00 AM,1,BWSSB,31/12/2015,11:45 PM,Temperature(Temp),/home/thej/code/cpcb/data/raw/2015_BWSSB_3/temp.csv
208,19,4 Hours,01/09/2015,12:00 AM,1,BWSSB,31/12/2015,11:45 PM,Benzene(Benzene),/home/thej/code/cpcb/data/raw/2015_BWSSB_3/benzene.csv
209,19,4 Hours,01/09/2015,12:00 AM,1,BWSSB,31/12/2015,11:45 PM,Nitric Oxide(NO),/home/thej/code/cpcb/data/raw/2015_BWSSB_3/no.csv
210,19,4 Hours,01/09/2015,12:00 AM,1,BWSSB,31/12/2015,11:45 PM,Relative Humidity(RH),/home/thej/code/cpcb/data/raw/2015_BWSSB_3/rh.csv
211,19,4 Hours,01/09/2015,12:00 AM,1,BWSSB,31/12/2015,11:45 PM,Toluene(Toluene),/home/thej/code/cpcb/data/raw/2015_BWSSB_3/toluene.csv
212,19,4 Hours,01/09/2015,12:00 AM,1,BWSSB,31/12/2015,11:45 PM,Sulfur Dioxide(SO2),/home/thej/code/cpcb/data/raw/2015_BWSSB_3/so2.csv
213,19,4 Hours,01/09/2015,12:00 AM,1,BWSSB,31/12/2015,11:45 PM,Carbon Monoxide(CO),/home/thej/code/cpcb/data/raw/2015_BWSSB_3/co.csv
214,19,4 Hours,01/09/2015,12:00 AM,1,BWSSB,31/12/2015,11:45 PM,Oxides of Nitrogen(NOx),/home/thej/code/cpcb/data/raw/2015_BWSSB_3/nox.csv
215,19,4 Hours,01/09/2015,12:00 AM,1,BWSSB,31/12/2015,11:45 PM,PM 2.5(PM2.5),/home/thej/code/cpcb/data/raw/2015_BWSSB_3/mp25.csv
216,19,4 Hours,01/09/2015,12:00 AM,1,BWSSB,31/12/2015,11:45 PM,Bar Pressure(Bar Pressure),/home/thej/code/cpcb/data/raw/2015_BWSSB_3/pressure.csv
217,19,4 Hours,01/09/2015,12:00 AM,1,BWSSB,31/12/2015,11:45 PM,Ethyl Benzene(Ethyl Benzene),/home/thej/code/cpcb/data/raw/2015_BWSSB_3/ethyl.csv
218,19,4 Hours,01/09/2015,12:00 AM,1,BWSSB,31/12/2015,11:45 PM,Nitrogen Dioxide(NO2),/home/thej/code/cpcb/data/raw/2015_BWSSB_3/no2.csv
219,19,4 Hours,01/05/2016,12:00 AM,1,CRS,31/08/2016,11:45 PM,Nitric Oxide(NO),/home/thej/code/cpcb/data/raw/2016_CRS_2/no.csv
220,19,4 Hours,01/05/2016,12:00 AM,1,CRS,31/08/2016,11:45 PM,Sulfur Dioxide(SO2),/home/thej/code/cpcb/data/raw/2016_CRS_2/so2.csv
221,19,4 Hours,01/05/2016,12:00 AM,1,CRS,31/08/2016,11:45 PM,Carbon Monoxide(CO),/home/thej/code/cpcb/data/raw/2016_CRS_2/co.csv
222,19,4 Hours,01/05/2016,12:00 AM,1,CRS,31/08/2016,11:45 PM,Oxides of Nitrogen(NOx),/home/thej/code/cpcb/data/raw/2016_CRS_2/nox.csv
223,19,4 Hours,01/05/2016,12:00 AM,1,CRS,31/08/2016,11:45 PM,PM10(PM10),/home/thej/code/cpcb/data/raw/2016_CRS_2/pm10.csv
224,19,4 Hours,01/05/2016,12:00 AM,1,CRS,31/08/2016,11:45 PM,Nitrogen Dioxide(NO2),/home/thej/code/cpcb/data/raw/2016_CRS_2/no2.csv
225,19,4 Hours,01/01/2015,12:00 AM,1,BTM,30/04/2015,11:45 PM,Temperature(Temp),/home/thej/code/cpcb/data/raw/2015_BTM_1/temp.csv
226,19,4 Hours,01/01/2015,12:00 AM,1,BTM,30/04/2015,11:45 PM,Benzene(Benzene),/home/thej/code/cpcb/data/raw/2015_BTM_1/benzene.csv
227,19,4 Hours,01/01/2015,12:00 AM,1,BTM,30/04/2015,11:45 PM,Nitric Oxide(NO),/home/thej/code/cpcb/data/raw/2015_BTM_1/no.csv
228,19,4 Hours,01/01/2015,12:00 AM,1,BTM,30/04/2015,11:45 PM,Relative Humidity(RH),/home/thej/code/cpcb/data/raw/2015_BTM_1/rh.csv
229,19,4 Hours,01/01/2015,12:00 AM,1,BTM,30/04/2015,11:45 PM,Toluene(Toluene),/home/thej/code/cpcb/data/raw/2015_BTM_1/toluene.csv
230,19,4 Hours,01/01/2015,12:00 AM,1,BTM,30/04/2015,11:45 PM,Carbon Monoxide(CO),/home/thej/code/cpcb/data/raw/2015_BTM_1/co.csv
231,19,4 Hours,01/01/2015,12:00 AM,1,BTM,30/04/2015,11:45 PM,PM 2.5(PM2.5),/home/thej/code/cpcb/data/raw/2015_BTM_1/pm25.csv
232,19,4 Hours,01/01/2015,12:00 AM,1,BTM,30/04/2015,11:45 PM,Oxides of Nitrogen(NOx),/home/thej/code/cpcb/data/raw/2015_BTM_1/nox.csv
